Course ID;Course Name;Course Short Name;Subject Name;University Name ;City Name;Teaching languages Instruction;Required German language;Required English language;Beginning;Duration of Programme;Tuition Fees;Course Details Link
7616;Production & Automation (Consecutive Bachelor's + Master's Programme, German/French) | Produktion und Automatisierung (deutsch-französischer, konsekutiver Bachelor-/Masterstudiengang);Production & Automation (BA + MA Programme, German/French);Engineering in general;Hochschule München University of Applied Sciences;München;German, French;None;None;Winter semester;9 semesters or more;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7616/
4555;Production & Operations Management (MSc, Executive) at the HECTOR School;Production & Operations Management (MSc, Executive);Mechanical Engineering / Process Engineering;Karlsruhe Institute of Technology;Karlsruhe;English;None;None;Winter semester;4 semesters;7500;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4555/
5277;Production Technology Meets Industry 4.0 | Summer School;Production Technology Meets Industry 4.0 | Summer School;Mechanical Engineering / Process Engineering;RWTH Aachen University;Aachen;English;None;B2;None;None;None;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5277/
6529;Professional IT Business & Digitalisation;Professional IT Business & Digitalisation;Computer Science;HTW Berlin University of Applied Sciences;Berlin;English;None;None;Winter semester;3 semesters;4750;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6529/
4646;Protein Chemistry, Master of Science;Protein Chemistry, Master of Science;Biology;Julius-Maximilians-Universität Würzburg;Würzburg;English;None;None;Winter semester, Summer semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4646/
7679;Psychology & Sustainability;Psychology & Sustainability;Psychology;Leuphana University Lüneburg;Lüneburg;English;None;None;Winter semester;4 semesters;None;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7679/
6961;Psychology (BSc);Psychology (BSc);Psychology;Leuphana University Lüneburg;Lüneburg;English;None;None;Winter semester;6 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6961/
3794;Public Art and New Artistic Strategies (MFA);Public Art and New Artistic Strategies (MFA);Fine Arts;Bauhaus-Universität Weimar;Weimar;English;None;None;Winter semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3794/
4065;Public Economics, Law and Politics (MA);Public Economics, Law and Politics (MA);Political Science;Leuphana University Lüneburg;Lüneburg;English;None;None;Winter semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4065/
5375;Public International Law: Human Rights – International Economic and Environmental Law – International Criminal Law;Public International Law;Law;University of Göttingen;Göttingen;English;None;None;Winter semester;6 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5375/
7767;Public Management in International Cooperation – Designing African-European and Intra-African Relations (PMIC);Public Management in International Cooperation (PMIC);Public Administration;University of Applied Sciences Kehl;Kehl;English;None;None;Winter semester;4 semesters;4500;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7767/
7940;Python for Engineers;Python for Engineers;Computer Science;Technische Universität Berlin;Berlin;English;None;B2;None;None;None;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7940/
7678;Quantitative Biology;Quantitative Biology;Biology;Heinrich Heine University Düsseldorf;Düsseldorf;English;None;None;Winter semester;6 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7678/
6535;Quantitative Data Science Methods – Psychometrics, Econometrics and Machine Learning (QDS);Quantitative Data Science Methods (QDS);Mathematics;University of Tübingen;Tübingen;English;None;None;Winter semester;4 semesters;1500;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6535/
8284;Quantum Engineering (Master of Science);Quantum Engineering;Physics, Astronomy;Leibniz Universität Hannover;Hannover;English;None;None;Winter semester, Summer semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8284/
8336;Quantum Science;Quantum Science;Mathematics, Natural Sciences in general;University of Siegen;Siegen;English;None;None;Winter semester, Summer semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8336/
8331;Quantum Science and Technology;Quantum Science and Technology;Physics, Astronomy;Technical University Munich;Garching b. München;English;None;None;Winter semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8331/
4881;Railway Systems Engineering;Railway Systems Engineering;Transport Engineering, Nautical Science;RWTH Aachen University;Aachen;English;None;None;Winter semester, Summer semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4881/
4398;Refinement of Polymer and Composite Products;Refinement of Polymer and Composite Products;Mechanical Engineering / Process Engineering;Kaiserslautern University of Applied Sciences;Pirmasens;English;None;None;Winter semester, Summer semester;3 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4398/
5081;Refugee Protection and Forced Migration;Refugee Protection and Forced Migration;Law, Economics and Social Sciences in general;Humboldt-Universität zu Berlin;Berlin;English;None;B2;None;None;None;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5081/
4272;Regenerative Biology and Medicine;Regenerative Biology and Medicine;Biology;Technische Universität Dresden;Dresden;English;None;None;Winter semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4272/
7737;Regensburg International Graduate School of Life Sciences (RIGeL);Regensburg International Graduate School of Life Sciences (RIGeL);Biology;Universität Regensburg;Regensburg;German, English;None;None;Any time;6 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7737/
7770;Religion in the Public Sphere – Double Degree;Religion in the Public Sphere;Social Science;Leibniz Universität Hannover;Hannover;English;None;None;Winter semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7770/
8559;Religion, Ethics, and Politics;Religion, Ethics, and Politics;Political Science;TU Dortmund University;Dortmund;English;None;None;Winter semester, Summer semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8559/
6244;Religious Studies;Religious Studies;Languages and Cultural Studies in general;Ruhr-Universität Bochum;Bochum;English;None;None;Winter semester, Summer semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6244/
6163;Remote Sensing and Geoinformatics;Remote Sensing and Geoinformatics;Earth Sciences (excluding Geography);Karlsruhe Institute of Technology;Karlsruhe;English;None;None;Winter semester, Summer semester;4 semesters;1500;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6163/
3973;Renaissance Studies;Renaissance Studies;Languages and Cultural Studies in general;University of Bonn;Bonn;German, English, Italian;None;None;Winter semester, Summer semester;4 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3973/
6455;Renewable Energy and E-Mobility (REEM);Renewable Energy and E-Mobility (REEM);Electrical Engineering;Stralsund University of Applied Sciences;Stralsund;English;None;None;Winter semester, Summer semester;3 semesters;none;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6455/
